2,GENERAL,,General Notes ,,,,GSP Information,Answer,,,
,,,"ISWs: Decent assessment, but lack of data. The plan labels the western portion of the basin as ""probably disconnected"" without adaquate groundwater data. Data gaps and potential ISWs could be described/mapped better.
GDEs: The plan described their process of GDE assessment well. No groundwater data used due to lack of adaquate spatial distribtion of GDE monitoring wells. Data gaps were identified and pGDEs were mapped and briefly described.
SMC: The MO section needs more detail for beneficial users. Deeper evaluation is needed in SMC section. 
PMA: Although they have plans either completed or planned, they haven't gone into detail how it will benefit beneficial users, GDE, DAC, .... Even although they have multiple WQ projects, they hardly mention benefits to any beneficial users.
WQ: They have done a good job presenting all the constitutes that they have been monitoring.
CLIMATE CHANGE: Water budget did a good job incorporating CC (2070 CT) into future projections for ET, precip, surface flow, sea level rise. Projected sustainable yield based off projected budget components.
OTHER: No use of Open ET, but references potential water market and requiring meters in the future. PMAs did a good job addressing supply augmentation, but demand reduction was rather lacking.
Stakeholders: Documented a lot of information about DACs and DAC populations, some of the most detailed assessments of populations, includes well depth by location maps (which most GSP fail to include), states to not have any federally recgonized Tribes but name two tribes as stakeholders. ",,,,GSP ID,14,,,
,,,,,,,GSA Name,East Contra Costa,,,
,,,,,,,Subbasin Name,SAN JOAQUIN VALLEY - EAST CONTRA COSTA,,,
,,,,,,,Consultant,Luhdorff & Scalmanini Consulting Engineers,,,
,,,,,,,GSP version,Draft,,,
,,,,,,,Acreage of GDEs per basin,"14,055",,,
,,,,,,,DAC Population,"29,165",,,
,,,,,,,Tribal population,NA,Answer NA if Tribal Population is 0 and there is no mention of tribes described in the GSP.  Answer all Tribal related questions even if tribal populations are 0 and the GSP mentions tribes in the basin.,,
,,,,,,,Acreage of Managed Wetlands,72,,,
,,,,,,,Point Contact Name,Sara,,,
Coding Sections,GSP Plan Element,,Topic,Level,Criteria,Spectrum,Key Search Terms,Answer,Relevant Text from GSP,10-2,Notes
Stakeholder,PLAN AREA,,DACs,1,"Does the GSP document how DAC stakeholders were given opportunities to engage in the GSP development process? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement. ","No = no reference to DACs, no reference to stakeholder engagement during development 
somewhat=  no specific reference to DAC engagement but lists DAC as a stakeholder, provides stakeholder engagement details 
Yes= references DACs and how they were engaged specifically during development beyond informing DACs
","Disadvantaged Communit*, DAC, stakeholder, beneficial user",Somewhat,"The Water Code Section 10723.2 requires the GSAs to consider the interests of all beneficial uses and users of groundwater, as well as those responsible for implementing the GSP. These interests include, but are not limited to, the following:
9. Disadvantaged communities, including, but not limited to, those served by private domestic wells or small community water systems.

&&

Disadvantaged Communities: The disadvantaged areas (DAs) are described in Section 2.3.2. The total DAC population in the Subbasin is approximately 35,600 (Table 2-5). All DAs are served by small water systems, municipal water, or individual domestic wells (Figures 2-13a and 2-13b). SGMA has limited authority with regards to water quality improvements related to drinking water beneficial uses. Despite these limitations, GSAs represent the interests of the DAs (e.g., the City of Antioch, DWD, Contra Costa County, 1 Native American Heritage Commission, 1550 Harbor Blvd., Ste. 100, West Sacramento, CA 95691, (916) 373-3710.and the City of Brentwood). The interests of the DAs are reflected in the sustainability goal and sustainable management criteria described in Section 7.

5.2.2.2 Disadvantaged Communities
Messages developed for this sector should be tailored and specific to the community. This type of outreach is often best served by use of surrogates and trusted messengers. These messages should be aligned with activities of the Integrated Regional Water Management (IRWM) Plan. Messages about ways to access the increased availability of resources due to grant incentives should also be considered. ECC Subbasin Disadvantaged Communities and Economically. Disadvantaged Areas are illustrated in Figure 7. Figure 7. Disadvantaged Communities and Economically Disadvantaged Area, ECC Subbasin. ","10-1
10-2
Appendix 10c / 19","1. DAC's identified? (yes/no): YES
2. If yes, which level of engagment: Engagement = Targeted Inform
3. Evidence/strategies listed for level of engagement:

Lists methods of targetted messaging for DACs to be involved during development and implementation. More information is needed, lacks some detail about specific engagement. "
