,GENERAL,,General Notes ,,,,GSP Information,Answer,,,
,,,"SH: GSP identified most of the basin as DACs, Lookout Rancheria (associated with Pit River Tribe) was identified as a tribal stakeholder within the basin. The GSP does mention limitations to GSP engagement with stakeholders. 
ISW: map of ISWs included; groundwater data from only 2015 used and a criteria of 15 feet of shallower; very few ISWs mapped, and then the SMC and montiroing network sections do not even address ISWs based on the flawed logic that there is not enough evidence; data gaps identified in section 7.3.6
GDE: flora is described but fauna and critical/endangered/threatened species were not; clear description of methods; again, only 2015 groundwater data used and a criteria of 15 feet or shallower; unsure if the groundwater monitoring wells presented in section 5-1 are adaquete to identify groundwater conditions around GDEs
CC: GSP used DWR change factors (unspecified) to account for precip, ET (native not separated), and surface flow (no imports in basin). Projected SY is based on historic pumping. Overall one of the most vague water budget sections for a GSP thus far.
SMC: No MT or MO section, very vague on UR
PMA: They haven't clearly detailed the benefits, better evaluation is needed, specifically to GDE, DAC and tribes
Other: No mention of OpenET, voluntary metering programing ongoing/continuing, no reference to water markets. PMA section was not very thorough, but ongoing PMAs address demand reduction and proposed PMAs address supply augmentation. Coordination w/ RWQCB briefly mentioned but not discussed.",,,,GSP ID,1,,,
,,,,,,,GSA Name,Big Valley GSA,,,
,,,,,,,Subbasin Name,BIG VALLEY,,,
,,,,,,,Consultant,"GEI Consultants, Lassen County California, UCCE, County of Madoc","Laura K. Snell,David F. Lile, Lassen County, Claire K. Bjork, University of California Cooperative Extension, Modoc County
David Fairman, Rodney Fricke, Chris Petersen, GEI Consultants
",,
,,,,,,,GSP version,Draft,,,
,,,,,,,Acreage of GDEs per basin,"16,275",,,
,,,,,,,DAC Population,700,,,
,,,,,,,Tribal population,0,Answer NA if Tribal Population is 0 and there is no mention of tribes described in the GSP.  Answer all Tribal related questions even if tribal populations are 0 and the GSP mentions tribes in the basin.,,
,,,,,,,Acreage of Managed Wetlands,NA,,,
,,,,,,,Point Contact Name,Sara,,,
