,GENERAL,,General Notes ,,,,GSP Information,Answer,,,
,,,"SH: Tribes are not present within the basin. This plan is very similar to Santa Rosa and Petaluma, all need to include a seperate domestic well map instead of mapping all water wells in one map. Also need more clarification on stakeholder representation on the advisory board. 
ISW: decent analysis but lack of temporal data; final ISW map does not describe gaining vs. losing stream segments; surface water in the southeastern area of basin is not included as ISW and unsure the reasoning for this; data gaps identiifed in monitoring network section
GDE: flora and fauna are briefly described; critical species acknolwedged; lack of spatial and temporal description of groundwater data; unsure which GDEs were removed based on description and figure
CC: Used numerical model with RCP 8.5 and HadGEM2-ES GCM to incorporate precip, ET (not native veg), surface flows (not imports), and sea level rise into projected budget. Projected SY based on projected conditions with CC incorporated.
SMC: They have done a decent job, they are still missing details and have data gaps regarding ISW and GDE.
PMA: They don't have many plans, but they did a good job explaining what their projects, however more details are needed for benefits to beneficial users.
Other: No mention of OpenET; vague reference to metering (beyond existing programs); passing mention of new water market. PMAs addressed demand reduction and supply augmentation through planned projects. Coordination with RWQCB discussed.",,,,GSP ID,30,,,
,,,,,,,GSA Name,Sonoma Valley GSA,,,
,,,,,,,Subbasin Name,NAPA-SONOMA VALLEY - SONOMA VALLEY,,,
,,,,,,,Consultant,"Sonoma Water, Parker Groundwater, Montgomery & Associates, Jacobs","Sonoma Water: Marcus Trotta (project manager), Jay Jasperse (plan manager), Ann DuBay (GSA administrator), and project team members Mitchell Buttress, Nathan Goddard, Tracy Nishikawa, Simone Peters, Andrew Rich, Andrea Rodriguez
Parker Groundwater: Tim Parker
Montgomery & Associates: Lisa Porta, Derrik Williams, Georgina King, Cameron Tana, Pete Dennehy, Colin Kikuchi, Jonathan Reeves, Jane Patel, Patrick Wickham
Jacobs: Karen Askeland and her team",,
,,,,,,,GSP version,Draft,,,
,,,,,,,Acreage of GDEs per basin,"1,665",,,
,,,,,,,DAC Population,782,,,
,,,,,,,Tribal population,NA,Answer NA if Tribal Population is 0 and there is no mention of tribes described in the GSP.  Answer all Tribal related questions even if tribal populations are 0 and the GSP mentions tribes in the basin.,,
,,,,,,,Acreage of Managed Wetlands,NoData,,,
,,,,,,,Point Contact Name,Sara,,,
Coding Sections,GSP Plan Element,,Topic,Level,Criteria,Spectrum,Key Search Terms,Answer,Relevant Text from GSP,GSP Page / Section,Notes
Stakeholder,PLAN AREA,,DACs,1,"Does the GSP document how DAC stakeholders were given opportunities to engage in the GSP development process? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement. ","No = no reference to DACs, no reference to stakeholder engagement during development 
somewhat=  no specific reference to DAC engagement but lists DAC as a stakeholder, provides stakeholder engagement details 
Yes= references DACs and how they were engaged specifically during development beyond informing DACs
","Disadvantaged Communit*, DAC, stakeholder, beneficial user",Somewhat,"Some areas of the Subbasin are classified as Disadvantaged Communities (DACs) by the California DWR (DWR 2021a), the Sonoma County Transportation Authority (SCTA 2017), and Sonoma County Department of Health Services (2014). Representatives of DAC stakeholders were included in the assessment survey, or were separately interviewed by staff during the GSA formation process. The Subbasin beneficial users and uses, as defined by SGMA (CWC Section 10723.2), are represented in the structure of the GSA Board and the Advisory Committee. GSP beneficiaries include private domestic well owners, agriculture, businesses, municipal public water systems, DACs, and environmental users.

&&

7.2.2 Communication and Stakeholder Engagement
The GSA will continue the communication and stakeholder activities described in Section 1, including: • Approach and engage a diverse set of stakeholders and groundwater users by reaching out to and meeting with organizations that represent disadvantaged communities, farmers, environmental interests, rural landowners, and business interests.

&&

Engaging Disadvantaged Communities – Community Events and Existing Venues Disadvantaged communities (DACs) are specifically called out in SGMA as an interested party. Eighty-one percent of the area in the Sonoma Valley Basin is designated an Economically Distressed Area, and eight percent of the area in the Basin (Temelec, Agua Caliente and The Springs areas) is categorized as a Disadvantaged Community. A large percent of the people living in the DAC areas of Sonoma Valley are Spanish speaking, and many are relatively recent immigrants. Previous assessments of engaging Sonoma County’s Spanish speaking community recommend using “food, faith and festivals” as opportunities to educate and interact with people on critical issues. Connecting with communities through existing organizations, like La Luz, and through community events, churches and schools, provides an opportunity share information and solicit feedback on rate/fee options and GSP elements.

&&

Disadvantaged Communities (and organizations that represent disadvantaged communities)
 Glen Ellen, Temelec, Boyes Hot Springs, The Springs
 Temelec Homeowners Association
 Creekside Village Homeowners Association
 Chanterelle Homeowners Association
 Seven Flags Homeowners Association
 La Luz
 Social Advocates for Youth
 Boys and Girls Club
 Sonoma Valley Health Center
 Environmental Coalition for Water Justice
 Sonoma Valley Housing Group
 Sonoma Valley Action Coalition
 Vintage House
 Nuestra Voz

&&

Public Meetings/Hearing Public meetings or hearings are formal opportunities for people to provide official comments on programs, plans and proposals. SGMA requires that a public meeting be held prior to the adoption of a fee and public hearings for the adoptions of GSP elements and the final plan. There are also constitutional requirements for public hearings for some fee/rate options. Public meetings and hearings are an important forum for people to share viewpoints and concerns, but often occur at the end of a process, when only one option is under consideration. The GSA will 5 hold required public meetings and hearings but will also use less formal public workshops (described below) to solicit feedback and information early in the process. Public Workshops Public educational workshops provide less formal, opportunities for people to learn about groundwater, SGMA, financing options, and GSP elements. Workshops can be organized in a variety of ways, including open houses, world cafes and traditional presentations with facilitated question and answer sessions. In order to solicit feedback from people who may not be comfortable speaking in public, workshops can include small group breakout discussions, “dot” voting, comment cards and other techniques. Whatever format of workshop is used, it will be designed to maximize opportunities for public input. A workshop will be held in the spring of Year One (2018) to describe and solicit feedback on fee/rate options. Workshops will also be held as GSP elements are being developed. Public Notices In addition to the public notice required for fee adoption, SGMA requires that prior to initiating the development of a GSP, the GSA must provide a written statement describing the manner in which interested parties may participate in the development and implementation of the GSP. The statement must be provided to all the cities within the basin and to the County of Sonoma. As outlined in this Community Engagement Plan, there will be a variety of opportunities for people to participate in the development and implementation of the GSP, including workshops, public hearings, providing comments at Board and Advisory Committee meetings and through written comments. In early 2018, staff and legal counsel will develop a written statement for public participation.

&&

Interest-Based Seats Interested individuals from the community or local organizations may apply to the SVGSA Board, designating in the application the seat that the applicant would intend to fill. The SVGSA Board encourages interest groups to work together to recommend a single candidate to fill that interest’s seat. The Board will give strong consideration to appointing candidates that have the backing of multiple organizations or individuals within that interest group and familiarity with groundwater and its management. The Board will also give strong preference to a representative who lives or works within a Sonoma Valley Disadvantaged Community (as defined in SGMA), and will in any case give preference to appointees that can represent the interests of disadvantaged populations or interests that are otherwise under represented on the Advisory Committee. Additionally, the Board will give preference to applicants with experience working with diverse community-based groups.","1-16
7-2
Appendix 1-E, Page 5
Appendix 1-E-1","1. DAC's identified? (yes/no): Yes, DACs identified include Glen Ellen, Temelec, Boyes Hot Springs,The Springs, Temelec, and Agua Caliente . 
2. If yes, which level of engagment: Engagement= Inform, Involve
3. Evidence/strategies listed for level of engagement:
GSP includes language of targetted engagement for DACs including education and outreach during community festivals, and asking for feedback and input on the GSP during these events.  The GSP should include more information if DACs are being represented within the basin. 
The GSP also includes engagement opportunities open to all identified stakeholders.  
The GSP does include text that states to give preference to individuals who live or work with DACs to represent them in the Interest-Based Seats on the Advisory Committee but does not clarify if there is in fact a representative on the Advisory Board representing the interests of DACs. More information is needed. "
Stakeholder,,,Tribes,1,"Does the GSP document how tribal stakeholders were given opportunities to engage in the GSP development process? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement. ","No = no reference to Tribes , no reference of stakeholder engagement opportunities
Somewhat= No specific Tribe engagement described, lists Tribes as stakeholders, includes stakeholder engagement details
Yes = reference to Tribes in the Basin, documents targetted engagment opportunities for Tribal stakeholders beyond informing","Tribal, tribe, stakeholder, beneficial user",Not Applicable,Tribes  No recognized tribes in Sonoma Valley,,"1. Tribes identified? (yes/no):
2. If yes, which level of engagment:
3. Evidence/strategies listed for level of engagement:"
Stakeholder,,,Ecosystems,1,"Does the GSP document how environmental stakeholders were given opportunities to engage in the GSP development process? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement. ","No= does not identify environmental stakeholders or documents engagement opportunies for stakeholders
Somewhat= identifies environmental users as stakeholders but does not include targetted engagement opportunities for them. Only provides details on engagement opportunities for ALL stakeholders listed. 
Yes= identifies environmental users as stakeholders, includes targetted engagement opportunities for them beyond informing them","environment, stakeholder, environmental beneficial user",Yes,"The Sonoma Valley GSA formed an advisory committee of 12 members consisting of six at-large members appointed by the six member agencies, and six interest-based members appointed by the GSA Board, which include the following stakeholder groups: • Environmental interests (from an organization with a presence in the Subbasin) • Rural residential well owners • Business community • Agricultural interests (surface water or groundwater user) • At-large community (hydrologist/geologist preference) • At-large community 
The role of the Advisory Committee is to work toward consensus and incorporate community and stakeholder interests into recommendations to the GSA Board on GSP development and SGMA implementation. 
Advisory Committee members also report to, and seek input, from their larger constituency groups on key components and proposals related to GSP development. The Advisory Committee meets between 8 and 12 times annually, and the meetings are open to the public in compliance with California’s Ralph M. Brown Act (Government Code Section 54950). The Advisory Committee makes written recommendations to the GSA Board that reflect the outcome of Advisory Committee discussions. To ensure that all viewpoints are heard and considered by the GSA Board, the Advisory Committee reports to the GSA Board identifying areas of agreement and disagreement among the Advisory Committee members. The names of GSA Board and Advisory Committee members can be found in Appendix 1-B, and the Advisory Committee Charter is provided in Appendix 1-C.

&&

Organizations that Represent Environmental Uses of Groundwater
 Sonoma County Water Coalition
 Sonoma County Conservation Action
 Sonoma Ecology Center
 Bouverie Preserve
 Greenbelt Alliance
 Wine Water Watch

&&

Stakeholder Briefings: Advisory Committee members will meet with and communicate regularly with organizations comprised of the stakeholder groups they represent. To avoid overlap and mixed messages, all briefings will be coordinated with outreach staff. Many stakeholder groups were interviewed in 2015, during SGMA initial stakeholder outreach. The Stakeholder Assessment can be found online at www.sonomacountygroundwater.org.

&&

Public Meetings/Hearing Public meetings or hearings are formal opportunities for people to provide official comments on programs, plans and proposals. SGMA requires that a public meeting be held prior to the adoption of a fee and public hearings for the adoptions of GSP elements and the final plan. There are also constitutional requirements for public hearings for some fee/rate options. Public meetings and hearings are an important forum for people to share viewpoints and concerns, but often occur at the end of a process, when only one option is under consideration. The GSA will 5 hold required public meetings and hearings but will also use less formal public workshops (described below) to solicit feedback and information early in the process. Public Workshops Public educational workshops provide less formal, opportunities for people to learn about groundwater, SGMA, financing options, and GSP elements. Workshops can be organized in a variety of ways, including open houses, world cafes and traditional presentations with facilitated question and answer sessions. In order to solicit feedback from people who may not be comfortable speaking in public, workshops can include small group breakout discussions, “dot” voting, comment cards and other techniques. Whatever format of workshop is used, it will be designed to maximize opportunities for public input. A workshop will be held in the spring of Year One (2018) to describe and solicit feedback on fee/rate options. Workshops will also be held as GSP elements are being developed. Public Notices In addition to the public notice required for fee adoption, SGMA requires that prior to initiating the development of a GSP, the GSA must provide a written statement describing the manner in which interested parties may participate in the development and implementation of the GSP. The statement must be provided to all the cities within the basin and to the County of Sonoma. As outlined in this Community Engagement Plan, there will be a variety of opportunities for people to participate in the development and implementation of the GSP, including workshops, public hearings, providing comments at Board and Advisory Committee meetings and through written comments. In early 2018, staff and legal counsel will develop a written statement for public participation.","1-13
Appendiz 1-E-1
Appendix 1-E, Page 5","
1. Environmental Stakeholders identified? Yes, Environmental stakeholders identified include  Sonoma County Water Coalition,  Sonoma County Conservation Action, Sonoma Ecology Center,  Bouverie Preserve,  Greenbelt Alliance,  Wine Water Watch 
2. Which level of engagment: Engagement= Inform, Involve, Collaborate
3. Evidence/strategies listed for level of engagement:

There is an environmental representative on the Advisory Committee representing environmental interests. This represnetative is documented to be from an environmental organization present within the basin. The GSP also includes engagement opportunities open to all identified stakeholders. "
Stakeholder,,,DACs,2,"Does the Stakeholder Communication and Engagement Plan or GSP include outreach to DACs during GSP implementation? If so, please describe the level of engagement in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement.","No= does not document implementation outreach for stakeholders, does not identify DACs as stakeholders(when they are present)
Somewhat= Identifies DACs as stakeholders, outlines outreach to stakeholders (not DAC-specific)
Yes=Identifies DACs as stakeholders, includes DAC-specific outreach (beyond informing)","Disadvantaged Communit*, DAC, stakeholder, beneficial user",Somewhat,"The Community Engagement Plan is comprised of two categories of activities: ongoing and project- or program-specific. Ongoing activities are the “housekeeping” tasks of the GSA outreach, including website maintenance and updates, monthly blogs to the interested parties list, updating fact sheets and FAQs, posting Board and AC meetings and materials, and issuing press releases about meetings.

&&

7.2.2 Communication and Stakeholder Engagement (Section 7: Implementation Plan)
The GSA will continue the communication and stakeholder activities described in Section 1, including: • Hold regular meetings of a diverse, stakeholder-based Advisory Committee to receive feedback on implementation efforts and to solicit outreach ideas and assistance • Inform, educate, and solicit feedback from stakeholders on progress implementing projects and management actions and on Subbasin conditions through social media, the GSA website, periodic community meetings, focused stakeholder briefings, and paid and free media • Approach and engage a diverse set of stakeholders and groundwater users by reaching out to and meeting with organizations that represent disadvantaged communities, farmers, environmental interests, rural landowners, and business interests.","Appendix 1-E, Page 4","1. Documents outreach plans to stakeholders? (yes/no) YES, includes vague language that mentions that outreach will continue through implementation. 
2. List specific outreach methods for DACs?  ( yes/no) Mentions reaching out to and meeting with organizations that represent DACs. Needs more information on what the engagememt or representation will look like. 
3. What level of outreach engagement? 
GSP should include if DACs are represneted on any Advisory Committees during development and implementation. "
Stakeholder,,,Tribes,2,"Does the Stakeholder Communication and Engagement Plan or GSP include outreach to tribes during GSP implementation? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement.","No= does not identify Tribes as stakeholder (when present or ackowledged within the basin), does not outline outreach methods
Somewhat= might/might not identify Tribes as stakeholder, or reference to Tribal members present in basin but have not Tribe-specific outreach outlined, only general stakeholder outreach 
Yes= Identifies Tribes as stakeholders, includes outreach specific for Tribal stakehodlers explicitly (beyond informing)","Tribal, tribe, stakeholder, beneficial user",Not Applicable,,,"1. Documents outreach plans to stakeholders? (yes/no)
2. List specific outreach methods for Tribes?  (yes/no)
3. What level of outreach engagement? "
Stakeholder,,,Ecosystems,2,"Does the Stakeholder Communication and Engagement Plan or GSP include outreach to environmental stakeholders during GSP implementation? If so, please describe the level of engagement in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement.","No=does not identify environmental users as stakeholders, does not outline outreach methods 
Somewhat=identifies environmental stakeholders, outlines only general stakeholder outreach, not specific to environmental stakeholders
Yes=Identifies environmental stakeholders, includes outreach material for env stakeholders specifically beyond informing","environment, stakeholder, environmental beneficial user",Yes,"The Community Engagement Plan is comprised of two categories of activities: ongoing and project- or program-specific. Ongoing activities are the “housekeeping” tasks of the GSA outreach, including website maintenance and updates, monthly blogs to the interested parties list, updating fact sheets and FAQs, posting Board and AC meetings and materials, and issuing press releases about meetings.

&&

The role of the Advisory Committee is to work toward consensus and incorporate community and stakeholder interests into recommendations to the GSA Board on GSP development and SGMA implementation. Advisory Committee members also report to, and seek input, from their larger constituency groups on key components and proposals related to GSP development. The Advisory Committee meets between 8 and 12 times annually, and the meetings are open to the public in compliance with California’s Ralph M. Brown Act (Government Code Section 54950).


7.2.2 Communication and Stakeholder Engagement (Section 7: Implementation Plan)
The GSA will continue the communication and stakeholder activities described in Section 1, including: • Hold regular meetings of a diverse, stakeholder-based Advisory Committee to receive feedback on implementation efforts and to solicit outreach ideas and assistance
• Inform, educate, and solicit feedback from stakeholders on progress implementing projects and management actions and on Subbasin conditions through social media, the GSA website, periodic community meetings, focused stakeholder briefings, and paid and free media
• Approach and engage a diverse set of stakeholders and groundwater users by reaching out to and meeting with organizations that represent disadvantaged communities, farmers, environmental interests, rural landowners, and business interests.","Appendix 1-E, Page 4","1. Documents outreach plans to stakeholders? (yes/no) YES, includes vague language that mentions that outreach will continue through implementation. 
2. List specific outreach methods for Environmental stakeholders?  (yes/no) Not explicitly but does mention that the Advisory Commiitee will continue meeting during implementation which includes an environmental user representative. More information is needed on who is represnenting enironmental users and what their role on the Advisory Committee looks like. 
3. What level of outreach engagement? 

Inform, Involve, Collaborate"
Stakeholder,,,All,2,Does the GSP include a Stakeholder Communication and Engagement Plan?,"No= does not include a C&E plan
Yes= includes specific section in GSP  dedicated to Stakeholder C&E
","Stakeholder community and engagement plan, beneficial user",Yes,,Appendix 1-E: Community Engagement Plan for Development and Adoption of a Groundwater Sustainability Plan Sonoma Valley Groundwater Sustainability Agency,Title: Community Engagement Plan for Development and Adoption of a Groundwater Sustainability Plan Sonoma Valley Groundwater Sustainability Agency
Stakeholder,,,DACs,1,Does the GSP identify each DAC by name and location on a map? ,"No= does not identify DACs by name, does not identify DAC locations on a map
Somewhat=identifies DAC location on a map or DAC by name (one or the other, not both)
Yes=Identifies DAC location on a map and identifies them by name(re: DAC name-- in text or map))","Disadvantaged Communit*, DAC",Somewhat,"Engaging Disadvantaged Communities – Community Events and Existing Venues Disadvantaged communities (DACs) are specifically called out in SGMA as an interested party. Eighty-one percent of the area in the Sonoma Valley Basin is designated an Economically Distressed Area, and eight percent of the area in the Basin (Temelec, Agua Caliente and The Springs areas) is categorized as a Disadvantaged Community. A large percent of the people living in the DAC areas of Sonoma Valley are Spanish speaking, and many are relatively recent immigrants. Previous assessments of engaging Sonoma County’s Spanish speaking community recommend using “food, faith and festivals” as opportunities to educate and interact with people on critical issues. Connecting with communities through existing organizations, like La Luz, and through community events, churches and schools, provides an opportunity share information and solicit feedback on rate/fee options and GSP elements.

&&

Disadvantaged Communities (and organizations that represent disadvantaged communities)
 Glen Ellen, Temelec, Boyes Hot Springs, The Springs
 Temelec Homeowners Association
 Creekside Village Homeowners Association
 Chanterelle Homeowners Association
 Seven Flags Homeowners Association
 La Luz
 Social Advocates for Youth
 Boys and Girls Club
 Sonoma Valley Health Center
 Environmental Coalition for Water Justice
 Sonoma Valley Housing Group
 Sonoma Valley Action Coalition
 Vintage House
 Nuestra Voz","Appendix 1-E, Page 5
Appendix 1-E-1","1. Location on the map? (yes/no) NO, no map included that highlights DAC locations
2. Identified by name? (yes/no) DACs were identified by name including Glen Ellen, Temelec, Boyes Hot Spring, and The Springs, along with other organizations that work with disadvanatged communities were listed as DAC stakeholders
3. DAC places, tracks, or block data used in map?"
Stakeholder,,,Tribes,1,Are tribal lands identified and mapped in the basin?,"No=does not identify Tribal lands on a map, or references in the text
Somewhat=Tribal lands are identified in text but not mapped OR Tribal lands are mapped but not identified in text
Yes=Tribal lands are identified in text and mapped","tribal, tribe",Not Applicable,,,"1. Tribal lands identified? (yes/no)
2. Tribal lands mapped? (yes/no)
"
