,GENERAL,,General Notes ,,,,GSP Information,Answer,,,,
,,,"ISW: map of ISWs but lack of description of data; the plan excludes a portion of the basin as disconnected but there is a lack of data to support this. Data gaps identified, but pISWs are not mapped
GDE: good inventory of GDE flora and fauna; map of GDEs but few details on process of accepting/removing GDE polygons; only one year of groundwater data used; Potential GDEs are mapped and described",,,,GSP ID,50,,,,
,,,,,,,GSA Name,The City and Couty of San Luis Obispo,,,,
,,,,,,,Subbasin Name,SAN LUIS OBISPO VALLEY,,,,
,,,,,,,Consultant,"Water Systems Consulting, Inc.",,,,
,,,,,,,GSP version,Draft,,,,
,,,,,,,Acreage of GDEs per basin,616,,,,
,,,,,,,DAC Population,23580,,,,
,,,,,,,Tribal population,0,Answer NA if Tribal Population is 0 and there is no mention of tribes described in the GSP.  Answer all Tribal related questions even if tribal populations are 0 and the GSP mentions tribes in the basin.,,,
,,,,,,,Acreage of Managed Wetlands,No Data,,,,
,,,,,,,Point Contact Name,Lauren,,,,
,GSP Plan Element,,Topic,Level,Criteria,Spectrum,Key Search Terms,Answer,Relevant Text from GSP,GSP Page / Section,Notes,
Martha,PLAN AREA,,DACs,1,"Does the GSP document how DAC stakeholders were given opportunities to engage in the GSP development process? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement. ","no = no reference to DACs, no reference to stakeholder engagement during development 
somewhat=  no specific reference to DAC engagement but lists DAC as a stakeholder, provides stakeholder engagement details 
Yes= references DACs and how they were engaged specifically during development beyond informing DACs
","Disadvantaged Communit*, DAC, stakeholder, beneficial user",Yes,"The initial list of interested parties that was imported into the Portal from the County’s SGMA email interest list included 290 entries. To support the diversity of elements and ensure we engage with potentially underrepresented communities on the list, the groups below will be given focused attention when choosing venues and tools for engagement.

Disadvantaged Communities. The City is recognized as a Disadvantaged Community (DAC).5 Meetings will be held in proximity to this area to allow easy access for interested parties. Information about GSP development and meeting dates/times will be posted in areas that the City has found to be successful in reaching underrepresented populations in previous outreach efforts. These areas include public events such as the Farmer’s Market, City kiosks at City facilities such as the finance office where utility bills are paid, the parks and recreation department where after-school programs are coordinated, and other City facilities such as the Senior Citizens Center.

Regular meetings of the Groundwater Sustainability Commission provide an opportunity for City and County staff, participating parties, and their consultants to present updates on the status of GSP development. Meetings are scheduled every three months (quarterly). See the GSP development schedule (Appendix D) for planned dates. An interested party may sign up on the emailing list using the Portal to receive updates on meeting dates and times. Meetings of the Groundwater Sustainability Commission are subject to the Brown Act and are open to the public.

Stakeholder workshops are designed to create opportunities for stakeholders and other interested parties to provide meaningful input during GSP chapter development. The workshop schedule is aligned with the GSP development schedule (Appendix D) for this purpose. The workshops will be led by technical experts such as consultants or GSA staff. Workshop dates will vary based on when input is deemed most useful. Suggestions for optimizing the benefit of the workshops are listed below. • Choose workshop venues, dates, and times to maximize stakeholder participation. •Use the Portal to inform interested parties about workshops during GSP development.

Regular meetings of the Groundwater Sustainability Commission provide an opportunity for City andCounty staff, participating parties, and their consultants to present updates on the status of GSP development. Meetings are scheduled every three months (quarterly). See the GSP development schedule (Appendix D) for planned dates. An interested party may sign up on the emailing list using the Portal to receive updates on meeting dates and times. Meetings of the Groundwater Sustainability Commission are subject to the Brown Act and are open to the public.

The general process for establishing minimum thresholds and measurable objectives for the SMC and assessing significant and unreasonable conditions constituting undesirable results in the Basin was iterative and included the following: • Evaluating historical data on groundwater elevations from wells monitored by the City and County. • Evaluating water budget information presented in Chapter 6, including sustainable yield estimates and average deficits for the San Luis Valley and Edna Valley parts of the basin. • Holding a series of public outreach meetings that outlined the GSP development process and introduced stakeholders to SMC, MOs, MTs, and other related information. • Soliciting public comment and input on several alternative minimum threshold and measurable options based upon preliminary technical analysis presented at GSC meetings and the five guiding principles agreed upon. • Evaluating public comment to assess what are significant and unreasonable effects relevant to SMC. Public comments from outreach meetings were analyzed to assess if different areas in the Basin had different perspectives for what constitutes an undesirable result in the Basin and how minimum thresholds and measurable objectives are established. • Combining public comment, outreach efforts, hydrogeologic data and considering the interests of beneficial uses and groundwater users, land uses, and property interests in the Basin to describe undesirable results and setting preliminary conceptual MTs and MOs. • Performing groundwater model simulations that incorporate projects and management actions discussed in Chapter 9 to assess if the SMC are achievable. • Conducting public meetings to present recommended preliminary conceptual minimum thresholds and measurable objectives that are technically sound and reasonable, and receiving additional public input. Presentations and discussion of SMCs occurred at eleven meetings in the Basin between March 2020 and May 2021. • Reviewing and considering public and GSC input on recommended preliminary SMCs with GSA
staff. • GSC recommended final SMCs to GSAs for approval. A number of alternative options for both MTs and MOs were considered for each RMS after evaluation of the historical record of groundwater elevations at each well, assessment of trends of groundwater elevation decline (where applicable), and input from stakeholders regarding their desired conditions. Details regarding the specific SMCs for each Sustainability Indicator are included in the following sections of this chapter describing each indicator.","Appendix E, C&E Plan, Page 13,14, 15

Page 8-6","1. DAC's on the Map? (yes/no): 
No map of DACs is provided but they are identified as stakeholders
2. If yes, which level of engagment:
Engagement= Involve
3. Evidence/strategies listed for level of engagement:
The GSP outlines targeted outreach and engagement for diverse groups including DACs in the Basin (the GSP notes that the city of San Luis Obsipo is considered a DAC), these targeted outreach and engagement include hosting informational events at local Farmer's Markets, promoting meetings and updates around city kiosks and places where utility bills are paid, the parks and recreatiion departments where after school programs take place, and the senior citizens center. The engagement they list include general stakeholder engagement such as access to public meetings, access to SGMA-related material and GSP development notifications in non-English languages, surveys and workshops. 

GSP also outlines and documents how all stakeholders were given the opportunity to engage during the development of the SGMA Criteria process of estabishing minimum thresholds, measurable objectives, and identifying undesirable results. ",
