,GENERAL,,General Notes ,,,,GSP Information,Answer,,,,
,,,,,,,GSP ID,55,,,,
,,,,,,,GSA Name,Santa Margarita Groundwater Agency GSA,,,,
,,,,,,,Subbasin Name,SANTA MARGARITA,,,,
,,,,,,,Consultant,"Water Systems Consulting, Inc. & Balance Hydrologics, Inc.& Montgomery & Associates (M&A) & Miller Maxfield, Inc. & Balance Hydrologics, Inc.",,,,
,,,,,,,GSP version,Draft,,,,
,,,,,,,Acreage of GDEs per basin,3860,,,,
,,,,,,,DAC Population,0,,,,
,,,,,,,Tribal population,0,Answer NA if Tribal Population is 0 and there is no mention of tribes described in the GSP.  Answer all Tribal related questions even if tribal populations are 0 and the GSP mentions tribes in the basin.,7 / 2.1.1.4.5 (pdf pg 51),"There are no federally designated tribal lands and no federally recognized tribes in the Basin. The Basin is located within a California Tribal and Cultural Area that historically belonged to a division of the Ohlone people known as the Awaswas. The Awaswas people inhabited the land from present-day Davenport to Aptos. Descendants of the Awaswas people are members of the Amah Mutsun Tribal Band. The Tribal Band is petitioning the federal government for tribal recognition and has formed the Amah Mutsun Land Trust to access, protect, and steward lands important to the tribe (Amah Mutsun, 2019).",
,,,,,,,Acreage of Managed Wetlands,No Data,,,,
,,,,,,,Point Contact Name,Meagan,"Martha, Lauren, Meagan (point contact)",,,
Coding Sections,GSP Plan Element,,Topic,Level,Criteria,Spectrum,Key Search Terms,Answer,Relevant Text from GSP,GSP Page / Section,Notes,
Stakeholder,PLAN AREA,,DACs,1,"Does the GSP document how DAC stakeholders were given opportunities to engage in the GSP development process? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement. ","No = no reference to DACs, no reference to stakeholder engagement during development 
somewhat=  no specific reference to DAC engagement but lists DAC as a stakeholder, provides stakeholder engagement details 
Yes= references DACs and how they were engaged specifically during development beyond informing DACs
","Disadvantaged Communit*, DAC, stakeholder, beneficial user",Somewhat,"When developing the GSP, the SMGWAvconsidered impacts on all beneficial uses
and users, including domestic well owners, Disadvantaged Communities (DACs), and priority species. California Water Code (CWC) §106.3 recognizes that “every
human being has the right to safe, clean, affordable, and accessible water adequate for human consumption, cooking, and sanitary purposes.” The Human Right to Water bill extends to all Californians, including disadvantaged individuals, groups, and communities in rural and urban areas. 

&& 

Public workshops and events: Educational Series, community discussions, basin tours, Private Well Owner meetings


&&

There are 2 DAC Census Block Groups, both of which are partially located within the Basin (Figure 2-9). Within the Basin, the DACs include part of the Census Designated Places of Boulder Creek, Brookdale, and Ben Lomond. 
","6 / Executive Summary 
&& 
12 / Appendix 2A Communications and Engagement Plan","1. DAC's identified? (yes/no): YES
2. If yes, which level of engagment: Engagement= Inform
3. Evidence/strategies listed for level of engagement:

DACs are identified but GSP does not document detailed engagement of DACs. Provide only general details of DAC considerations.  ",
Stakeholder,,,Tribes,1,"Does the GSP document how tribal stakeholders were given opportunities to engage in the GSP development process? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement. ","No = no reference to Tribes , no reference of stakeholder engagement opportunities
Somewhat= No specific Tribe engagement described, lists Tribes as stakeholders, includes stakeholder engagement details
Yes = reference to Tribes in the Basin, documents targetted engagment opportunities for Tribal stakeholders beyond informing","Tribal, tribe, stakeholder, beneficial user",No,"GSP development is a collaborative effort among the SMGWA’s cooperating agencies and technical consultants. Decisions shaping policy are informed by input from resource management agencies, community members, and interested stakeholders. Extensive public outreach and engagement efforts prior to and during GSP development are documented in a Communication and Engagement Plan (C&E Plan). Beneficial users of groundwater in the Basin identified in the C&E Plan include municipal water suppliers, agricultural users, private domestic well owners, small water systems, local land use planning agencies, surface water users, ecological users, California Native American Tribes, disadvantaged communities, protected lands (including recreational areas), and public trust uses (including wildlife, aquatic habitat, fisheries, recreation, and navigation). When developing the GSP, the SMGWA considered impacts on all beneficial uses and users, including domestic well owners, Disadvantaged Communities (DACs), and priority species. California Water Code (CWC) §106.3 recognizes that “every human being has the right to safe, clean, affordable, and accessible water adequate for human consumption, cooking, and sanitary purposes.” The Human Right to Water bill extends to all Californians, including disadvantaged individuals, groups, and communities in rural and urban areas. 

&&

Inform and involve to avoid negative impact to these users, and inform about the need and basis for possible future fees
","6 / Executive Summary
 && 
8 / Appendix 2A Communications and Engagement Plan","1. Tribes identified? (yes/no): NO
2. If yes, which level of engagment: 
3. Evidence/strategies listed for level of engagement:

The GSP does not identify any federally recognized tribes, although does list them as beneficial users and provides only general, non-tribe specific engagement opporutnities for all stakehodlers. ",
Stakeholder,,,Ecosystems,1,"Does the GSP document how environmental stakeholders were given opportunities to engage in the GSP development process? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement. ","No= does not identify environmental stakeholders or documents engagement opportunies for stakeholders
Somewhat= identifies environmental users as stakeholders but does not include targetted engagement opportunities for them. Only provides details on engagement opportunities for ALL stakeholders listed. 
Yes= identifies environmental users as stakeholders, includes targetted engagement opportunities for them beyond informing them","environment, stakeholder, environmental beneficial user",Somewhat,"GSP development is a collaborative effort among the SMGWA’s cooperating agencies and technical consultants. Decisions shaping policy are informed by input from resource management agencies, community members, and interested stakeholders. Extensive public outreach and engagement efforts prior to and during GSP development are documented in a Communication and Engagement Plan (C&E Plan). Beneficial users of groundwater in the Basin identified in the C&E Plan include municipal water suppliers, agricultural users, private domestic well owners, small water systems, local land use planning agencies, surface water users, ecological users, California Native American Tribes, disadvantaged communities, protected lands (including recreational areas), and public trust uses (including wildlife, aquatic habitat, fisheries, recreation, and navigation). When developing the GSP, the SMGWA
considered impacts on all beneficial uses and users, including domestic well owners, Disadvantaged Communities (DACs), and priority species. California Water Code (CWC) §106.3 recognizes that “every human being has the right to safe, clean, affordable, and accessible water adequate for human consumption, cooking, and sanitary purposes.” The Human Right to Water bill extends to all Californians, including disadvantaged individuals, groups, and communities in rural and urban areas. 

&&

Inform and involve to sustain vital groundwater-dependent ecosystems

","6 / Executive Summary 
&& 
8 / Appendix 2A Communications and Engagement Plan","
1. Environmental Stakeholders identified? Environmental stakeholders are identified but no specific engagement is documented, GSP only provides general stakeholder engagement opporutnities. 
2. Which level of engagment:
3. Evidence/strategies listed for level of engagement:",
Stakeholder,,,DACs,2,"Does the Stakeholder Communication and Engagement Plan or GSP include outreach to DACs during GSP implementation? If so, please describe the level of engagement in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement.","No= does not document implementation outreach for stakeholders, does not identify DACs as stakeholders(when they are present)
Somewhat= Identifies DACs as stakeholders, outlines outreach to stakeholders (not DAC-specific)
Yes=Identifies DACs as stakeholders, includes DAC-specific outreach (beyond informing)","Disadvantaged Communit*, DAC, stakeholder, beneficial user",Somewhat,"Mount Hermon Association, private well residential users, and small water systems (all)
How to contact: Newspaper advertising, social media, community events, postcard mailing, agency-led well owner meetings

The C&E Plan covers a 4-phase approach that includes ongoing communication efforts, GSP development, GSP rollout, and future efforts following GSP submission in January 2021 and beyond as the GSP is implemented. Ongoing activities in the GSP implementation phase starting in 2022 are expected to include: maintenance of the SMGWA website; continued social media presence through Facebook and Instagram; email newsletter; youth engagement efforts; promoting and conducting community meetings, workshops and events; coordination with member agencies to share information; and developing print materials as necessary.

Community outreach activities will also transition from awareness building and education about SGMA, SMGWA, and the Basin, to providing more routine updates on the implementation efforts of the GSP and communication on Basin conditions. Some of the activities can be achieved under the administration function while others require subject matter expert services. ","9, 19 / Appendix 2A Communications and Engagement Plan


Full list of outreach activities can be found on pg 17-19 
Appendix 2A Communications and Engagement Plan

5-4","1. Documents outreach plans to stakeholders? (yes/no) YES
2. List specific outreach methods for DACs?  ( yes/no) NO
3. What level of outreach engagement? ",
Stakeholder,,,Tribes,2,"Does the Stakeholder Communication and Engagement Plan or GSP include outreach to tribes during GSP implementation? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement.","No= does not identify Tribes as stakeholder (when present or ackowledged within the basin), does not outline outreach methods
Somewhat= might/might not identify Tribes as stakeholder, or reference to Tribal members present in basin but have not Tribe-specific outreach outlined, only general stakeholder outreach 
Yes= Identifies Tribes as stakeholders, includes outreach specific for Tribal stakehodlers explicitly (beyond informing)","Tribal, tribe, stakeholder, beneficial user",No,"Private Users: 
Inform and involve to avoid negative impact to these users, and inform about the need and basis for possible future fees

The C&E Plan covers a 4-phase approach that includes ongoing communication efforts, GSP development, GSP rollout, and future efforts following GSP submission in January 2021 and beyond as the GSP is implemented. Ongoing activities in the GSP implementation phase starting in 2022 are expected to include: maintenance of the SMGWA website; continued social media presence through Facebook and Instagram; email newsletter; youth engagement efforts; promoting and conducting community meetings, workshops and events; coordination with member agencies to share information; and developing print materials as necessary.

Community outreach activities will also transition from awareness building and education about SGMA, SMGWA, and the Basin, to providing more routine updates on the implementation efforts of the GSP and communication on Basin conditions. Some of the activities can be achieved under the administration function while others require subject matter expert services. ","8 / Appendix 2A communications and engagement plan

5-4","1. Documents outreach plans to stakeholders? (yes/no) YES
2. List specific outreach methods for Tribes?  (yes/no) NO
3. What level of outreach engagement? ",
Stakeholder,,,Ecosystems,2,"Does the Stakeholder Communication and Engagement Plan or GSP include outreach to environmental stakeholders during GSP implementation? If so, please describe the level of engagement in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement.","No=does not identify environmental users as stakeholders, does not outline outreach methods 
Somewhat=identifies environmental stakeholders, outlines only general stakeholder outreach, not specific to environmental stakeholders
Yes=Identifies environmental stakeholders, includes outreach material for env stakeholders specifically beyond informing","environment, stakeholder, environmental beneficial user",Somewhat,"Beneficial uses and users of groundwater including private pumpers and environmental uses such as fish and plant habitat
How to contact: presentations, email newsletters, postcard mailings, social media, press releases, board meetings, community events

The C&E Plan covers a 4-phase approach that includes ongoing communication efforts, GSP development, GSP rollout, and future efforts following GSP submission in January 2021 and beyond as the GSP is implemented. Ongoing activities in the GSP implementation phase starting in 2022 are expected to include: maintenance of the SMGWA website; continued social media presence through Facebook and Instagram; email newsletter; youth engagement efforts; promoting and conducting community meetings, workshops and events; coordination with member agencies to share information; and developing print materials as necessary.

Community outreach activities will also transition from awareness building and education about SGMA, SMGWA, and the Basin, to providing more routine updates on the implementation efforts of the GSP and communication on Basin conditions. Some of the activities can be achieved under the administration function while others require subject matter expert services. ","7 / Appendix 2A communications and engagement plan

5-4","1. Documents outreach plans to stakeholders? (yes/no) YES
2. List specific outreach methods for Environmental stakeholders?  (yes/no) NO
3. What level of outreach engagement? ",
Stakeholder,,,All,2,Does the GSP include a Stakeholder Communication and Engagement Plan?,"No= does not include a C&E plan
Yes= includes specific section in GSP  dedicated to Stakeholder C&E
","Stakeholder community and engagement plan, beneficial user",Yes,,Appendix 2A communications and engagement plan,,
Stakeholder,,,DACs,1,Does the GSP identify each DAC by name and location on a map? ,"No= does not identify DACs by name, does not identify DAC locations on a map
Somewhat=identifies DAC location on a map or DAC by name (one or the other, not both)
Yes=Identifies DAC location on a map and identifies them by name(re: DAC name-- in text or map))","Disadvantaged Communit*, DAC",Somewhat,"There are 2 DAC Census Block Groups, both of which are partially located within the Basin (Figure 2-9). Within the Basin, the DACs include part of the Census Designated Places of Boulder Creek, Brookdale, and Ben Lomond. 



Unlike many DACs throughout California, these Block Groups are not a cohesive community. They are generally made up of small parts of several disparate larger communities that have been grouped together by the Census. The Block Group also provides an artificial boundary within which to focus special attention. In all of the communities located within the Basin, there are people who meet the income requirements considered “disadvantaged”, but they are not concentrated together in a defined location. Communities within the Block Group are grouped into beneficial user types under their source of water supply, which is either municipal water or privately pumped (Figure 2-9).","MAP : pg 54, Figure 2-9 (pdf pg 98)


text: 52-53 / 2.1.4.2.5","1. Location on the map? (yes/no) YES
2. Identified by name? (yes/no) YES
3. DAC places, tracks, or block data used in map?

DAC blocks were used to identify DACs , however the GSP notes that this is not an accurate representation od DACs within the basin since they are more widely dispersed and might paint a picture of a DAC heavy community. ",
Stakeholder,,,Tribes,1,Are tribal lands identified and mapped in the basin?,"No=does not identify Tribal lands on a map, or references in the text
Somewhat=Tribal lands are identified in text but not mapped OR Tribal lands are mapped but not identified in text
Yes=Tribal lands are identified in text and mapped","tribal, tribe",No,"""There are no federally designated tribal lands and no federally recognized tribes in the Basin. The Basin is located within a California Tribal and Cultural Area that historically belonged to a division of the Ohlone people known as the Awaswas. The Awaswas people inhabited the land from present-day Davenport to Aptos. Descendants of the Awaswas people are members of the Amah Mutsun Tribal Band. The Tribal Band is petitioning the federal government for tribal recognition and has formed the Amah Mutsun Land Trust to access, protect, and steward lands important to the tribe (Amah Mutsun, 2019).""",7 / 2.1.1.4.5 (pdf pg 51),"1. Tribal lands identified? (yes/no) NO
2. Tribal lands mapped? (yes/no) NO
",
