,GENERAL,,General Notes ,,,,GSP Information,Answer,,,
,,,"ISW: Decent ISW map which presents the percentage of connection of surface water based on BGMM model; no description of data used in model; data gaps are not explicitely identified in ISW section
GDE: There is no GDE section in plan. Appendix 2E, which is not referenced in the plan, give an overview of the GDE assessemnt, but does not have the figures it claims to have. No groundwater data used in assessment; no clear map; overall poor GDE assessment 
SMC: They have done a decent job explaining different indicators clearly, they have data gaps for ISW and WQ which they have acknowledged it.
CLIMATE CHANGE: Used numerical model to account for precip, ET, and streamflow into 2030 and 2070 Central Tendency scenarios. Projected SY given as a range based on different climate scenarios.
PMA: This is the most detailed PMA I have seen so far.
OTHER: No mention of Open ET, water markets, or widespread requirements for well meters. PMAs addressed supply augmentation and demand reduction with planned projects.
Stakeholder: No federally recognized tribes are present in the Basin, there is no DAC map provided (mentioned that an appendix related to DACs will be released in the final draft), the density map providided is not specific to domestic wells instead a point map is used to map all wlls in one single map without distinguishing between the different types of wells. ",,,,GSP ID,11,,,
,,,,,,,GSA Name,Butte GSAs,,,
,,,,,,,Subbasin Name,SACRAMENTO VALLEY - BUTTE,,,
,,,,,,,Consultant,"Davids Engineering, Inc 
Woodard & Curran, Inc
GEI Consultants, Inc",,,
,,,,,,,GSP version,Draft,,,
,,,,,,,Acreage of GDEs per basin,"15,130",,,
,,,,,,,DAC Population,"48,155",,,
,,,,,,,Tribal population,NA,Answer NA if Tribal Population is 0 and there is no mention of tribes described in the GSP.  Answer all Tribal related questions even if tribal populations are 0 and the GSP mentions tribes in the basin.,,
,,,,,,,Acreage of Managed Wetlands,"25,293",,,
,,,,,,,Point Contact Name,Sara,,,
Coding Sections,GSP Plan Element,,Topic,Level,Criteria,Spectrum,Key Search Terms,Answer,Relevant Text from GSP,GSP Page / Section,Notes
Stakeholder,PLAN AREA,,DACs,1,"Does the GSP document how DAC stakeholders were given opportunities to engage in the GSP development process? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement. ","No = no reference to DACs, no reference to stakeholder engagement during development 
somewhat=  no specific reference to DAC engagement but lists DAC as a stakeholder, provides stakeholder engagement details 
Yes= references DACs and how they were engaged specifically during development beyond informing DACs
","Disadvantaged Communit*, DAC, stakeholder, beneficial user",Somewhat,"This GSP has been developed by the Butte Subbasin GSAs through outreach and engagement and considers feedback received from local agencies, agricultural water users, municipal water users,  Disadvantaged Community (DAC) members, and other stakeholders in the subbasin. Public meetings and workshops have been hosted throughout GSP development. The Butte Subbasin  GSAs have met together regularly and have also met multiple times with GSAs in adjacent subbasins, sharing data and information on groundwater conditions and GSP projects to ensure  that this Plan will not interfere with the ability of adjacent subbasins to also maintain sustainable groundwater management.

&&

Human Right to Water    Disadvantaged communities  Small water systems    Environmental justice groups/community‐based organizations    De minimis well owners  City of Biggs  City of Gridley
Inform and involve to provide safe and secure groundwater supplies to all communities reliant on groundwater  

&&

The GSAs carried out community engagement during the development of the GSP, which included public meetings and materials shared to inform the public and then revised to incorporate public feedback. This plan aims to build on that foundation to now engage the community, interested parties, stakeholders, organizations, and agencies as the GSA Boards consider adopting the GSP and inaugurating GSP implementation. The draft GSP chapters on information, monitoring networks, sustainable management criteria, and projects and management actions were shared for public review in July of 2021. The GSA managers and Butte Advisory Board will complete a final review of the GSP before releasing the draft for a 60‐day public review period in September of 2021. The GSAs will hold formal public hearings and consider adopting by December of 2021 for a January 2022 submittal.

&&

Communication & Engagement Forums
Member Agencies Governance Briefings Member Agency board members may brief their councils or boards regularly on GSA activities and may work with the Butte Subbasin Advisory Board to provide additional briefings on sensitive or important topics. 

Stakeholder Briefings Butte Subbasin Advisory Board members will meet with and communicate regularly with the stakeholders they represent. To promote consistent messaging, and to the extent possible, briefings will be coordinated with all Member Agencies through the Advisory Board structure. 

Public Meetings/Hearing Public meetings or hearings are formal opportunities for people to provide official comments on programs, plans and proposals. Regular meetings of the GSAs and the Butte Subbasin Advisory Board constitute regular public meetings that will be noticed and conducted in accordance with the Ralph M. Brown Act. SGMA requires that a public meeting be held prior to the adoption of a fee and that public hearings are held for the adoption of GSP elements and the final GSP plan. There are also constitutional requirements for public hearings for some fee/rate options. Public meetings and hearings are an important forum for people to share viewpoints and concerns, but often occur at the end of a process, when only one option is under consideration. The GSAs will hold required public meetings and hearings, but will also use less formal public workshops to solicit feedback and information throughout the process. 

Public Workshops The Butte Subbasin Advisory Board will convene public workshops. These workshops provide less formal opportunities for people to learn about groundwater, SGMA, and GSP elements. Workshops can be organized in a variety of ways, including webinars, open houses, “stations” where people can ask questions one‐on‐one, and traditional presentations with facilitated question and answer sessions. In order to solicit feedback from people who may not be comfortable speaking in public, workshops can include small group breakout discussions, comment cards and other techniques. Whatever format is used, workshops will be designed to maximize opportunities for public input. 

Public Notices Public notices, often required by law, aim to notify agencies and the public about activities that may affect the public. As outlined in this Communications and Engagement Plan, the GSA will sponsor a variety of opportunities for people to participate in the development and implementation of the GSP, including workshops, public hearings, providing comments at Board and Butte Subbasin Advisory Board meetings and through written comments. And, the agencies will comply with public noticing requirements.

&&

The Butte Subbasin lacks organized DAC organizations and therefore made it difficult to identify and engage these communities.    The BAB sought out potential DAC representatives through discussions with area leaders and encouraged participation. However, during the plan development time period of January 2020 through 2021 opportunities to be publicly engaged were severely limited due to on‐going COVID‐19 restrictions.  ","ES-2
2-14 (Table 2-1)
Appendix 2.A. / 8
2-18","1. DAC's identified? (yes/no): YES
2. If yes, which level of engagment: Engagement=Inform w/ intention to involve. 
3. Evidence/strategies listed for level of engagement:

DACs have been identified as beneficial users/stakeholders within the basin. The GSP includes  general information on how stakeholders can engage during the GSP development process. They do mention that lack of DAC organizations made it difficult to reach out to DACs. 
"
Stakeholder,,,Tribes,1,"Does the GSP document how tribal stakeholders were given opportunities to engage in the GSP development process? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement. ","No = no reference to Tribes , no reference of stakeholder engagement opportunities
Somewhat= No specific Tribe engagement described, lists Tribes as stakeholders, includes stakeholder engagement details
Yes = reference to Tribes in the Basin, documents targetted engagment opportunities for Tribal stakeholders beyond informing","Tribal, tribe, stakeholder, beneficial user",Not Applicable,"This GSP has been developed by the Butte Subbasin GSAsthrough outreach and engagement and considers feedback received from local agencies, agricultural water users, municipal water users,  Disadvantaged Community (DAC) members, and other stakeholders in the subbasin. Public meetings and workshops have been hosted throughout GSP development. The Butte Subbasin  GSAs have met together regularly and have also met multiple times with GSAs in adjacent subbasins, sharing data and information on groundwater conditions and GSP projects to ensure  that this Plan will not interfere with the ability of adjacent subbasins to also maintain sustainable groundwater management.

&&


Tribes  Federally Recognized Tribes  Non‐Federally Recognized Tribes  Tribal engagement is not anticipated in this subbasin as area Tribes’ interests reside outside of the Butte Subbasin in adjacent basins. Inform, involve and consult with tribal government

Communication & Engagement Forums
Member Agencies Governance Briefings Member Agency board members may brief their councils or boards regularly on GSA activities and may work with the Butte Subbasin Advisory Board to provide additional briefings on sensitive or important topics. 

Stakeholder Briefings Butte Subbasin Advisory Board members will meet with and communicate regularly with the stakeholders they represent. To promote consistent messaging, and to the extent possible, briefings will be coordinated with all Member Agencies through the Advisory Board structure. 

Public Meetings/Hearing Public meetings or hearings are formal opportunities for people to provide official comments on programs, plans and proposals. Regular meetings of the GSAs and the Butte Subbasin Advisory Board constitute regular public meetings that will be noticed and conducted in accordance with the Ralph M. Brown Act. SGMA requires that a public meeting be held prior to the adoption of a fee and that public hearings are held for the adoption of GSP elements and the final GSP plan. There are also constitutional requirements for public hearings for some fee/rate options. Public meetings and hearings are an important forum for people to share viewpoints and concerns, but often occur at the end of a process, when only one option is under consideration. The GSAs will hold required public meetings and hearings, but will also use less formal public workshops to solicit feedback and information throughout the process. 

Public Workshops The Butte Subbasin Advisory Board will convene public workshops. These workshops provide less formal opportunities for people to learn about groundwater, SGMA, and GSP elements. Workshops can be organized in a variety of ways, including webinars, open houses, “stations” where people can ask questions one‐on‐one, and traditional presentations with facilitated question and answer sessions. In order to solicit feedback from people who may not be comfortable speaking in public, workshops can include small group breakout discussions, comment cards and other techniques. Whatever format is used, workshops will be designed to maximize opportunities for public input. 

Public Notices Public notices, often required by law, aim to notify agencies and the public about activities that may affect the public. As outlined in this Communications and Engagement Plan, the GSA will sponsor a variety of opportunities for people to participate in the development and implementation of the GSP, including workshops, public hearings, providing comments at Board and Butte Subbasin Advisory Board meetings and through written comments. And, the agencies will comply with public noticing requirements.","ES-2
2-14 (Table 2-1)
Appendix 2.A. / 8","1. Tribes identified? (yes/no):
2. If yes, which level of engagment:
3. Evidence/strategies listed for level of engagement:

There are no federally recognized Tribes within the Basin. "
Stakeholder,,,Ecosystems,1,"Does the GSP document how environmental stakeholders were given opportunities to engage in the GSP development process? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement. ","No= does not identify environmental stakeholders or documents engagement opportunies for stakeholders
Somewhat= identifies environmental users as stakeholders but does not include targetted engagement opportunities for them. Only provides details on engagement opportunities for ALL stakeholders listed. 
Yes= identifies environmental users as stakeholders, includes targetted engagement opportunities for them beyond informing them","environment, stakeholder, environmental beneficial user",Somewhat,"This GSP has been developed by the Butte Subbasin GSAsthrough outreach and engagement and considers feedback received from local agencies, agricultural water users, municipal water users,  Disadvantaged Community (DAC) members, and other stakeholders in the subbasin. Public meetings and workshops have been hosted throughout GSP development. The Butte Subbasin  GSAs have met together regularly and have also met multiple times with GSAs in adjacent subbasins, sharing data and information on groundwater conditions and GSP projects to ensure  that this Plan will not interfere with the ability of adjacent subbasins to also maintain sustainable groundwater management.

&&

Environmental and Ecosystem Uses  Federal and state agencies  Wetland managers  Environmental groups  Sierra Club  Butte Creek Watershed Conservancy  Friends of Butte Creek  Trout Unlimited  Audubon  California Waterfowl/Ducks Unlimited  Butte Environmental Council  Sacramento River Preservation Trust  The Nature Conservancy  Gray Lodge State Wildlife Refuge 
Inform and involve to consider and incorporate potential ecosystem impacts to GSP process

&&

Communication & Engagement Forums
Member Agencies Governance Briefings Member Agency board members may brief their councils or boards regularly on GSA activities and may work with the Butte Subbasin Advisory Board to provide additional briefings on sensitive or important topics. 

Stakeholder Briefings Butte Subbasin Advisory Board members will meet with and communicate regularly with the stakeholders they represent. To promote consistent messaging, and to the extent possible, briefings will be coordinated with all Member Agencies through the Advisory Board structure. 

Public Meetings/Hearing Public meetings or hearings are formal opportunities for people to provide official comments on programs, plans and proposals. Regular meetings of the GSAs and the Butte Subbasin Advisory Board constitute regular public meetings that will be noticed and conducted in accordance with the Ralph M. Brown Act. SGMA requires that a public meeting be held prior to the adoption of a fee and that public hearings are held for the adoption of GSP elements and the final GSP plan. There are also constitutional requirements for public hearings for some fee/rate options. Public meetings and hearings are an important forum for people to share viewpoints and concerns, but often occur at the end of a process, when only one option is under consideration. The GSAs will hold required public meetings and hearings, but will also use less formal public workshops to solicit feedback and information throughout the process. 

Public Workshops The Butte Subbasin Advisory Board will convene public workshops. These workshops provide less formal opportunities for people to learn about groundwater, SGMA, and GSP elements. Workshops can be organized in a variety of ways, including webinars, open houses, “stations” where people can ask questions one‐on‐one, and traditional presentations with facilitated question and answer sessions. In order to solicit feedback from people who may not be comfortable speaking in public, workshops can include small group breakout discussions, comment cards and other techniques. Whatever format is used, workshops will be designed to maximize opportunities for public input. 

Public Notices Public notices, often required by law, aim to notify agencies and the public about activities that may affect the public. As outlined in this Communications and Engagement Plan, the GSA will sponsor a variety of opportunities for people to participate in the development and implementation of the GSP, including workshops, public hearings, providing comments at Board and Butte Subbasin Advisory Board meetings and through written comments. And, the agencies will comply with public noticing requirements.","ES-2
2-14 (Table 2-1)
Appendix 2.A. / 8","
1. Environmental Stakeholders identified?  YES
2. Which level of engagment: Engagement= Inform 
3. Evidence/strategies listed for level of engagement:

GSP identifies environmental stakeholders and emphasises a plan to inform and involve environmental stakeholders. The GSP also includes engagement opporutnities for all stakeholders. "
